source_id	ONCacs	_RAJ2000	_DEJ2000	N	NIC	RAJ2000	DEJ2000	Vis	F435W	e_F435W	f_F435W	F555W	e_F555W	f_F555W	F658N	e_F658N	f_F658N	F775W	e_F775W	f_F775W	F850LP	e_F850LP	f_F850LP	type	Obs
1	1	83.541204	-5.373961	1	0	05 34 09.889	-05 22 26.26	1	24.4078	0.0869	1	23.8388	0.1742	1	       	22.1858	0	21.4007	0.0182	1	20.4673	0.0185	1	2	2005-03-31T06:44:32
2	2	83.542708	-5.364525	1	0	05 34 10.250	-05 21 52.29	1	       	25.9964	0	       	25.8158	0	       	22.3662	0	23.0738	0.101	1	21.7399	0.0658	1	1	2005-03-31T06:44:32
3	3	83.546296	-5.381794	1	0	05 34 11.111	-05 22 54.46	1	13.828	       	3	13.6283	       	3	11.0176	       	3	13.1155	       	3	12.1555	       	3	1	2005-03-31T06:44:32
4	4	83.546446	-5.344578	1	0	05 34 11.147	-05 20 40.48	1	       	26.1107	0	       	25.8597	0	       	22.5356	0	22.4234	0.0338	1	21.4191	0.0419	1	1	2005-03-31T06:44:32
5	5	83.548421	-5.369708	1	0	05 34 11.621	-05 22 10.95	1	       	26.0113	0	       	25.6485	0	19.8314	0.1018	1	21.9795	0.0225	1	20.4511	0.0186	1	1	2005-03-31T06:44:32
6	6	83.548842	-5.335642	1	0	05 34 11.722	-05 20 08.31	1	       	25.915	0	       	25.9073	0	       	22.4685	0	22.886	0.0333	1	21.1893	0.0351	1	1	2005-03-31T06:44:32
7	7	83.550067	-5.411064	1	0	05 34 12.016	-05 24 39.83	11	       	25.9512	0	       	25.4217	0	       	21.9786	0	23.2261	0.1432	1	22.4958	0.0612	1	1	2005-04-07T06:40:27
8	8	83.550104	-5.405411	1	0	05 34 12.025	-05 24 19.48	11	21.2241	0.0182	1	19.3782	0.0112	1	17.3387	0.0141	1	15.7541	0.0019	2	14.7022	0.0021	2	1	2005-04-07T06:40:27
9	9	83.550262	-5.370828	1	0	05 34 12.063	-05 22 14.98	1	       	26.0056	0	24.1313	0.0616	1	       	22.3218	0	21.557	0.0192	1	20.3896	0.0215	1	1	2005-03-31T06:44:32
10	10	83.550942	-5.419003	1	0	05 34 12.226	-05 25 08.41	11	       	25.6483	0	       	25.691	0	       	21.8584	0	       	24.937	0	21.7234	0.0428	1	7	2005-04-07T06:40:27
11	11	83.551717	-5.338808	1	0	05 34 12.412	-05 20 19.71	1	       	25.7268	0	       	25.5365	0	       	22.5459	0	22.8773	0.0336	1	20.9328	0.0211	1	1	2005-03-31T06:44:32
12	12	83.551804	-5.395164	1	0	05 34 12.433	-05 23 42.59	11	       	25.8276	0	       	25.4977	0	19.9103	0.0393	1	       	24.873	0	21.8381	0.0751	1	1	2005-04-07T06:40:27
13	13	83.552592	-5.390847	1	0	05 34 12.622	-05 23 27.05	11	       	25.7431	0	       	25.5181	0	       	22.0596	0	21.8249	0.0217	1	20.5176	0.0233	1	1	2005-04-07T06:40:27
14	14	83.553392	-5.329519	1	0	05 34 12.814	-05 19 46.27	1	       	25.9747	0	       	25.9418	0	       	22.642	0	       	25.6998	0	23.6229	0.1004	1	1	2005-03-31T06:44:32
15	15	83.553979	-5.333358	1	0	05 34 12.955	-05 20 00.09	1	       	26.0057	0	       	25.6971	0	       	22.533	0	23.4292	0.0467	1	22.0287	0.0659	1	1	2005-03-31T06:44:32
16	16	83.554371	-5.397811	1	0	05 34 13.049	-05 23 52.12	11	       	25.6796	0	       	25.5237	0	       	21.9798	0	23.5564	0.0551	1	21.7724	0.0776	1	1	2005-04-07T06:40:27
17	17	83.554796	-5.405661	1	1	05 34 13.151	-05 24 20.38	11	       	25.9461	0	       	25.7269	0	       	21.9712	0	23.2645	0.046	1	21.6099	0.0651	1	1	2005-04-07T06:40:27
18	18	83.554967	-5.361575	1	0	05 34 13.192	-05 21 41.67	1	       	26.0514	0	       	25.882	0	       	22.179	0	23.8799	0.0689	1	22.8238	0.1546	1	1	2005-03-31T06:44:32
19	19	83.555471	-5.286889	1	0	05 34 13.313	-05 17 12.80	32	       	26.1987	0	       	26.1228	0	       	22.5007	0	       	25.3477	0	       	24.5012	0	7	2005-04-10T03:21:27
20	20	83.556337	-5.286583	1	0	05 34 13.521	-05 17 11.70	32	       	26.0839	0	24.7497	0.0836	1	       	22.6032	0	20.7605	0.0151	1	19.1164	0.0073	1	1	2005-04-10T03:21:27
21	21	83.556671	-5.382058	2	0	05 34 13.601	-05 22 55.41	11	       	25.8339	0	24.8019	0.1237	1	       	22.1394	0	22.195	0.0486	1	21.3106	0.043	1	1	2005-04-07T06:40:27
21	21	83.556671	-5.382058	2	0	05 34 13.601	-05 22 55.41	1	       	25.8816	0	       	25.4668	0	       	22.0257	0	22.2802	0.0266	1	21.2107	0.0199	1	1	2005-03-31T06:44:32
23	23	83.556979	-5.295553	1	0	05 34 13.675	-05 17 43.99	32	21.1944	0.0179	1	19.1413	0.0027	1	17.8296	0.0155	1	16.684	0.0022	2	15.941	0.0024	2	1	2005-04-10T03:21:27
24	24	83.557617	-5.365789	1	0	05 34 13.828	-05 21 56.84	1	       	25.9466	0	       	25.7624	0	       	22.0775	0	23.8139	0.0607	1	22.4763	0.1222	1	1	2005-03-31T06:44:32
25	25	83.557704	-5.349003	1	0	05 34 13.849	-05 20 56.41	1	       	26.0761	0	       	25.749	0	       	22.3015	0	22.8205	0.032	1	21.434	0.046	1	1	2005-03-31T06:44:32
26	26	83.558021	-5.408606	1	1	05 34 13.925	-05 24 30.98	11	22.3076	0.0238	1	20.0577	0.0064	1	18.4523	0.0195	1	17.2486	0.0024	2	16.3641	0.0026	2	1	2005-04-07T06:40:27
27	27	83.558983	-5.272422	1	0	05 34 14.156	-05 16 20.72	32	       	26.24	0	       	26.0118	0	       	22.4127	0	23.5195	0.0826	1	21.9116	0.0504	1	1	2005-04-10T03:21:27
28	28	83.559812	-5.412642	1	1	05 34 14.355	-05 24 45.51	11	24.6679	0.0811	1	22.7767	0.0547	1	21.0529	0.0993	1	20.1035	0.0134	1	19.024	0.0079	1	1	2005-04-07T06:40:27
29	29	83.560375	-5.354558	1	0	05 34 14.490	-05 21 16.41	1	21.8364	0.0205	1	20.0291	0.0122	1	18.1389	0.0224	1	17.1446	0.0023	2	16.3277	0.0025	2	1	2005-03-31T06:44:32
30	30	83.560667	-5.358717	1	0	05 34 14.560	-05 21 31.38	1	       	26.1086	0	       	25.7017	0	       	22.1311	0	22.9022	0.0339	1	21.0193	0.0328	1	1	2005-03-31T06:44:32
31	31	83.560775	-5.342331	1	0	05 34 14.586	-05 20 32.39	1	22.2518	0.023	1	20.3796	0.0129	1	18.6615	0.0203	1	17.4949	0.0026	2	16.664	0.0027	2	1	2005-03-31T06:44:32
32	32	83.561075	-5.343931	1	0	05 34 14.658	-05 20 38.15	1	       	25.9045	0	23.0776	0.0688	1	20.5486	0.054	1	19.4948	0.0121	1	18.0467	0.0042	1	1	2005-03-31T06:44:32
33	33	83.562021	-5.363511	1	0	05 34 14.885	-05 21 48.64	1	24.639	0.0839	1	22.3934	0.023	1	20.3749	0.0523	1	19.2934	0.0118	1	18.0544	0.0046	1	1	2005-03-31T06:44:32
34	34	83.562192	-5.253172	1	0	05 34 14.926	-05 15 11.42	32	       	26.0312	0	       	26.0948	0	       	22.7766	0	22.8495	0.0756	1	21.6626	0.0483	1	1	2005-04-10T03:21:27
35	35	83.56225	-5.263767	1	0	05 34 14.940	-05 15 49.56	32	17.0767	0.001	2	15.673	       	3	14.2757	0.0013	2	14.4182	       	3	13.5067	       	3	1	2005-04-10T03:21:27
36	36	83.562279	-5.381483	2	0	05 34 14.947	-05 22 53.34	1	       	25.8832	0	       	25.6617	0	       	21.8689	0	23.9625	0.0721	1	22.1965	0.0504	1	1	2005-03-31T06:44:32
36	36	83.562279	-5.381483	2	0	05 34 14.947	-05 22 53.34	11	       	25.837	0	       	25.5943	0	       	22.0715	0	23.4042	0.1546	1	22.3827	0.1133	1	1	2005-04-07T06:40:27
38	38	83.562662	-5.396925	1	0	05 34 15.039	-05 23 48.93	11	       	25.8384	0	       	25.6311	0	       	22.006	0	23.9874	0.0889	1	22.8313	0.1922	1	1	2005-04-07T06:40:27
39	39	83.562875	-5.383311	2	0	05 34 15.090	-05 22 59.92	1	21.2564	0.0185	1	19.7377	0.0118	1	18.0216	0.0167	1	16.4695	0.0022	2	15.7404	0.0023	2	1	2005-03-31T06:44:32
39	39	83.562879	-5.383306	2	0	05 34 15.091	-05 22 59.90	11	20.6502	0.0091	1	19.1511	0.011	1	17.3705	0.0133	1	16.5579	0.002	2	15.8307	0.0023	2	1	2005-04-07T06:40:27
41	41	83.563108	-5.412144	1	1	05 34 15.146	-05 24 43.72	11	23.1091	0.0491	1	21.4222	0.0161	1	19.7444	0.0396	1	18.8776	0.0113	1	17.8652	0.0042	1	1	2005-04-07T06:40:27
42	42	83.563283	-5.393703	1	0	05 34 15.188	-05 23 37.33	11	       	25.905	0	23.9196	0.0524	1	       	21.7629	0	20.9637	0.0162	1	19.9035	0.014	1	1	2005-04-07T06:40:27
43	43	83.563762	-5.336186	1	0	05 34 15.303	-05 20 10.27	1	24.0637	0.0895	1	22.3567	0.0212	1	20.2811	0.0435	1	19.3211	0.0118	1	17.9978	0.0042	1	1	2005-03-31T06:44:32
44	44	83.56405	-5.254356	1	0	05 34 15.372	-05 15 15.68	32	       	26.0367	0	25.1884	0.1143	1	       	22.655	0	20.9365	0.0157	1	19.3781	0.0087	1	1	2005-04-10T03:21:27
45	45	83.5641	-5.4043	1	1	05 34 15.384	-05 24 15.48	11	       	25.8331	0	       	25.837	0	       	22.1708	0	22.6189	0.0296	1	21.1826	0.0415	1	1	2005-04-07T06:40:27
46	46	83.564212	-5.291661	1	0	05 34 15.411	-05 17 29.98	32	       	26.2577	0	       	25.9216	0	       	22.7082	0	23.0486	0.089	1	22.0123	0.0285	1	1	2005-04-10T03:21:27
47	47	83.564342	-5.281642	1	0	05 34 15.442	-05 16 53.91	32	       	26.1821	0	       	26.0837	0	       	22.5623	0	23.9272	0.0608	1	22.409	0.1003	1	1	2005-04-10T03:21:27
48	48	83.564817	-5.404564	1	1	05 34 15.556	-05 24 16.43	11	23.4497	0.0386	1	21.1832	0.0149	1	19.7729	0.038	1	18.5461	0.0036	1	17.7051	0.0038	1	1	2005-04-07T06:40:27
49	49	83.565287	-5.386186	2	0	05 34 15.669	-05 23 10.27	2	       	25.9365	0	       	25.2516	0	       	21.9656	0	22.536	0.0295	1	21.4652	0.0271	1	1	2005-04-01T06:43:47
49	49	83.565287	-5.386181	2	0	05 34 15.669	-05 23 10.25	11	       	25.9217	0	24.6193	0.0949	1	20.9584	0.0879	1	22.1788	0.0247	1	21.1155	0.0228	1	1	2005-04-07T06:40:27
51	51	83.565554	-5.372575	1	0	05 34 15.733	-05 22 21.27	1	       	26.0013	0	       	25.6994	0	       	21.8826	0	22.4526	0.0281	1	20.8629	0.0318	1	1	2005-03-31T06:44:32
52	52	83.565775	-5.360086	1	0	05 34 15.786	-05 21 36.31	1	       	25.9716	0	24.4783	0.0796	1	       	22.1355	0	24.1494	0.0766	1	22.512	0.0598	1	1	2005-03-31T06:44:32
53	53	83.565829	-5.346208	1	0	05 34 15.799	-05 20 46.35	1	       	26.1317	0	       	25.8265	0	21.1739	0.0872	1	       	25.4883	0	21.8621	0.0648	1	7	2005-03-31T06:44:32
54	54	83.566196	-5.273381	1	0	05 34 15.887	-05 16 24.17	32	       	26.0329	0	       	26.0258	0	       	22.4965	0	23.5561	0.0989	1	22.5398	0.0536	1	7	2005-04-10T03:21:27
55	55	83.567904	-5.332886	1	0	05 34 16.297	-05 19 58.39	1	       	26.0199	0	       	25.8494	0	       	22.448	0	22.9469	0.0342	1	21.1876	0.0175	1	1	2005-03-31T06:44:32
56	56	83.5687	-5.396506	1	0	05 34 16.488	-05 23 47.42	11	       	25.7827	0	       	25.4925	0	       	21.9933	0	21.0663	0.0164	1	19.5748	0.011	1	1	2005-04-07T06:40:27
57	57	83.568987	-5.412125	1	1	05 34 16.557	-05 24 43.65	11	       	25.8428	0	       	25.6426	0	       	21.9124	0	23.1723	0.1209	1	21.772	0.0738	1	1	2005-04-07T06:40:27
58	58	83.568996	-5.382292	3	0	05 34 16.559	-05 22 56.25	1	24.936	0.1103	1	22.4334	0.0233	1	       	21.788	4	19.3342	0.0119	1	18.05	0.0047	1	1	2005-03-31T06:44:32
58	58	83.568996	-5.382292	3	0	05 34 16.559	-05 22 56.25	2	24.8739	0.1104	1	22.6772	0.0266	1	       	21.7768	4	19.6855	0.0125	1	18.0374	0.0042	1	1	2005-04-01T06:43:47
58	58	83.568996	-5.382283	3	0	05 34 16.559	-05 22 56.22	11	24.2598	0.0981	1	22.0349	0.0337	1	20.2693	0.0501	1	19.0754	0.0048	1	18.0721	0.0045	1	1	2005-04-07T06:40:27
61	61	83.569137	-5.276603	1	0	05 34 16.593	-05 16 35.77	32	       	26.2045	0	       	25.9164	0	       	22.4639	0	       	25.7121	0	       	24.8201	0	7	2005-04-10T03:21:27
62	62	83.569408	-5.409058	1	1	05 34 16.658	-05 24 32.61	11	       	25.9327	0	       	25.6027	0	       	21.9782	0	22.276	0.0261	1	20.4139	0.0229	1	1	2005-04-07T06:40:27
63	63	83.570017	-5.264861	1	0	05 34 16.804	-05 15 53.50	32	       	26.12	0	       	25.6306	0	       	22.3809	0	23.1303	0.0974	1	22.3185	0.0575	1	7	2005-04-10T03:21:27
64	64	83.570829	-5.367817	2	0	05 34 16.999	-05 22 04.14	1	       	25.6119	0	24.6487	0.0936	1	       	21.8051	0	21.3969	0.0185	1	20.0464	0.0158	1	1	2005-03-31T06:44:32
64	64	83.570829	-5.367817	2	0	05 34 16.999	-05 22 04.14	2	       	25.895	0	24.4915	0.1113	1	       	21.9541	0	21.4234	0.0185	1	20.1547	0.0176	1	1	2005-04-01T06:43:47
66	66	83.570975	-5.377256	3	0	05 34 17.034	-05 22 38.12	1	       	25.8137	0	       	25.2353	0	       	22.0813	0	24.1862	0.1582	1	22.4647	0.1289	1	1	2005-03-31T06:44:32
66	66	83.570975	-5.377256	3	0	05 34 17.034	-05 22 38.12	2	       	25.8092	0	       	25.4374	0	       	22.071	0	24.4361	0.1022	1	22.4486	0.1242	1	1	2005-04-01T06:43:47
66	66	83.570975	-5.377256	3	0	05 34 17.034	-05 22 38.12	11	       	25.9445	0	       	25.7278	0	       	22.2458	0	24.3524	0.1072	1	22.6244	0.1411	1	1	2005-04-07T06:40:27
69	69	83.571392	-5.360886	1	0	05 34 17.134	-05 21 39.19	2	       	25.9144	0	       	25.3017	0	       	22.1801	0	23.5485	0.183	1	23.0861	0.0686	1	1	2005-04-01T06:43:47
70	70	83.571533	-5.333269	1	0	05 34 17.168	-05 19 59.77	1	       	25.9458	0	23.4803	0.0588	1	       	22.2445	0	20.9241	0.0157	1	19.6906	0.0114	1	1	2005-03-31T06:44:32
71	71	83.571567	-5.282839	1	0	05 34 17.176	-05 16 58.22	32	       	26.2337	0	23.2143	0.03	1	20.9031	0.0636	1	19.5554	0.0122	1	18.1442	0.0044	1	1	2005-04-10T03:21:27
72	72	83.571575	-5.268633	1	0	05 34 17.178	-05 16 07.08	32	       	26.0287	0	23.6851	0.0424	1	       	22.5619	0	23.9164	0.1053	1	22.4477	0.1046	1	7	2005-04-10T03:21:27
73	73	83.571667	-5.259322	1	0	05 34 17.200	-05 15 33.56	32	       	25.8438	0	       	25.9285	0	       	22.2817	0	23.135	0.0976	1	22.3789	0.0947	1	7	2005-04-10T03:21:27
74	74	83.571925	-5.376861	3	0	05 34 17.262	-05 22 36.70	1	21.3824	0.0188	1	19.9518	0.0121	1	18.0105	0.0166	1	16.7907	0.0023	2	16.1415	0.0025	1	1	2005-03-31T06:44:32
74	74	83.571925	-5.376861	3	0	05 34 17.262	-05 22 36.70	2	21.5959	0.0198	1	19.9618	0.0121	1	18.1095	0.017	1	16.8238	0.0022	2	16.2715	0.0025	2	1	2005-04-01T06:43:47
74	74	83.571937	-5.376853	3	0	05 34 17.265	-05 22 36.67	11	20.7489	0.0091	1	19.4916	0.0114	1	17.5566	0.0094	1	16.9403	0.0022	2	16.252	0.0025	1	1	2005-04-07T06:40:27
77	77	83.572079	-5.379983	3	0	05 34 17.299	-05 22 47.94	1	22.0713	0.0226	1	21.026	0.0149	1	18.002	0.017	1	16.4656	0.0022	2	15.3673	0.0022	2	1	2005-03-31T06:44:32
77	77	83.572079	-5.379983	3	0	05 34 17.299	-05 22 47.94	2	22.471	0.0261	1	20.7621	0.014	1	18.0638	0.017	1	16.5078	0.0021	2	15.4612	0.0022	2	1	2005-04-01T06:43:47
77	77	83.572092	-5.379972	3	0	05 34 17.302	-05 22 47.90	11	21.4704	0.0191	1	20.1202	0.0124	1	17.7568	0.0176	1	16.5622	0.002	2	15.4792	0.0023	2	1	2005-04-07T06:40:27
80	80	83.572292	-5.404528	1	1	05 34 17.350	-05 24 16.30	11	       	25.9535	0	       	25.7623	0	       	22.0048	0	23.3284	0.1076	1	21.8835	0.0785	1	1	2005-04-07T06:40:27
81	81	83.572512	-5.3987	1	0	05 34 17.403	-05 23 55.32	11	       	26.0334	0	       	25.3324	0	       	22.1515	0	22.3826	0.057	1	21.4011	0.0495	1	1	2005-04-07T06:40:27
82	82	83.573583	-5.273417	1	0	05 34 17.660	-05 16 24.30	32	       	26.0883	0	       	25.9661	0	20.7221	0.1511	1	22.7522	0.03	1	21.1462	0.0323	1	1	2005-04-10T03:21:27
83	83	83.573833	-5.3691	2	0	05 34 17.720	-05 22 08.76	1	       	25.8118	0	       	25.5346	0	       	22.0417	0	22.2837	0.0261	1	20.4634	0.02	1	1	2005-03-31T06:44:32
83	83	83.573833	-5.3691	2	0	05 34 17.720	-05 22 08.76	2	       	25.7631	0	       	25.8403	0	       	22.1091	0	22.386	0.0268	1	20.5972	0.0253	1	1	2005-04-01T06:43:47
85	85	83.574283	-5.344667	1	0	05 34 17.828	-05 20 40.80	2	       	25.8401	0	       	25.6981	0	       	22.3825	0	23.2661	0.0422	1	21.7309	0.0607	1	1	2005-04-01T06:43:47
86	86	83.575812	-5.351761	2	0	05 34 18.195	-05 21 06.34	1	       	26.016	0	       	25.7253	0	       	22.0231	0	24.0125	0.0686	1	22.1447	0.1039	1	1	2005-03-31T06:44:32
86	86	83.575812	-5.351761	2	0	05 34 18.195	-05 21 06.34	2	       	26.02	0	       	25.2837	0	       	22.2291	0	23.7007	0.0565	1	22.3281	0.1076	1	1	2005-04-01T06:43:47
88	88	83.576292	-5.271828	1	0	05 34 18.310	-05 16 18.58	32	       	25.9581	0	22.9606	0.0268	1	       	22.4834	0	22.9941	0.0779	1	21.7972	0.0619	1	1	2005-04-10T03:21:27
89	89	83.576408	-5.414147	2	1	05 34 18.338	-05 24 50.93	11	       	25.7762	0	       	25.375	4	       	21.8998	4	22.3708	0.0269	1	20.9462	0.0365	1	1	2005-04-07T06:40:27
89	89	83.576408	-5.414147	2	1	05 34 18.338	-05 24 50.93	12	       	25.7746	0	       	25.5542	4	       	21.8034	4	22.3828	0.0272	1	20.5871	0.0181	1	1	2005-04-07T09:52:24
91	91	83.576567	-5.381894	3	0	05 34 18.376	-05 22 54.82	1	22.6025	0.0277	1	20.9272	0.0146	1	19.6012	0.0341	1	18.8315	0.0112	1	17.0934	0.0031	1	1	2005-03-31T06:44:32
91	91	83.576571	-5.381889	3	0	05 34 18.377	-05 22 54.80	11	21.959	0.0281	1	20.3606	0.0088	1	18.6207	0.0336	1	18.2048	0.0106	1	17.1488	0.0032	1	1	2005-04-07T06:40:27
91	91	83.576567	-5.381894	3	0	05 34 18.376	-05 22 54.82	2	21.9251	0.0277	1	20.3151	0.0082	1	18.5394	0.0141	1	17.8173	0.0029	2	17.0974	0.0031	1	1	2005-04-01T06:43:47
94	94	83.576975	-5.355047	2	0	05 34 18.474	-05 21 18.17	1	       	25.4811	4	23.2304	0.099	1	       	21.5142	4	22.7457	0.0334	1	21.2019	0.0428	1	1	2005-03-31T06:44:32
94	94	83.576975	-5.355047	2	0	05 34 18.474	-05 21 18.17	2	       	25.8746	4	       	25.5389	4	20.7144	0.0852	1	22.3898	0.0605	1	21.065	0.0362	1	1	2005-04-01T06:43:47
96	96	83.577258	-5.25495	2	0	05 34 18.542	-05 15 17.82	32	       	26.0264	0	       	25.9114	0	       	22.4736	0	23.0886	0.0353	1	21.0807	0.0167	1	1	2005-04-10T03:21:27
96	96	83.577275	-5.254964	2	0	05 34 18.546	-05 15 17.87	41	       	26.147	0	       	25.8264	0	       	22.352	0	23.0822	0.0364	1	21.0123	0.0184	1	1	2005-04-10T18:45:40
98	98	83.57735	-5.334639	2	0	05 34 18.564	-05 20 04.70	1	       	25.8635	4	       	25.7976	4	       	22.3075	0	23.5385	0.0515	1	21.4093	0.0451	1	1	2005-03-31T06:44:32
98	98	83.57735	-5.334639	2	0	05 34 18.564	-05 20 04.70	2	       	25.8802	4	       	25.7356	4	       	22.3434	0	23.3949	0.0464	1	21.3067	0.0422	1	1	2005-04-01T06:43:47
100	100	83.577575	-5.378806	3	0	05 34 18.618	-05 22 43.70	11	       	25.5339	0	       	25.4292	0	       	22.0359	0	23.9077	0.0962	1	21.8309	0.0906	1	1	2005-04-07T06:40:27
100	100	83.577575	-5.378806	3	0	05 34 18.618	-05 22 43.70	1	       	25.8253	0	       	25.5148	0	       	21.9243	0	23.5287	0.1874	1	22.3319	0.1297	1	1	2005-03-31T06:44:32
100	100	83.577575	-5.378806	3	0	05 34 18.618	-05 22 43.70	2	       	25.5515	0	       	25.4824	0	       	21.7582	0	23.9804	0.0901	1	22.2584	0.1191	1	1	2005-04-01T06:43:47
103	103	83.577625	-5.298319	1	0	05 34 18.630	-05 17 53.95	32	       	25.964	0	       	25.4526	0	       	22.2296	0	22.165	0.0454	1	21.1173	0.0358	1	1	2005-04-10T03:21:27
104	104	83.578067	-5.256925	1	0	05 34 18.736	-05 15 24.93	32	       	26.0565	0	24.8517	0.0874	1	       	22.4158	0	20.3601	0.0139	1	18.571	0.0057	1	1	2005-04-10T03:21:27
105	105	83.578475	-5.249192	2	0	05 34 18.834	-05 14 57.09	32	24.6312	0.0756	1	22.4935	0.0225	1	20.9987	0.0711	1	19.7568	0.0126	1	18.0336	0.0041	1	1	2005-04-10T03:21:27
105	105	83.578492	-5.249206	2	0	05 34 18.838	-05 14 57.14	41	24.6784	0.078	1	22.1933	0.02	1	20.8296	0.0635	1	18.8878	0.0042	1	17.9521	0.0042	1	1	2005-04-10T18:45:40
107	107	83.579596	-5.291369	1	0	05 34 19.103	-05 17 28.93	32	       	26.0669	0	       	25.7089	0	       	22.3776	0	21.9626	0.0217	1	20.5867	0.0225	1	1	2005-04-10T03:21:27
108	108	83.579662	-5.260322	1	0	05 34 19.119	-05 15 37.16	32	       	25.7758	0	       	25.9636	0	       	22.5746	0	23.2182	0.1073	1	22.4001	0.1	1	7	2005-04-10T03:21:27
109	109	83.580379	-5.271617	1	0	05 34 19.291	-05 16 17.82	32	       	25.9735	0	       	25.8249	0	       	22.3728	0	22.4244	0.0254	1	20.9154	0.024	1	1	2005-04-10T03:21:27
110	110	83.581108	-5.388286	2	0	05 34 19.466	-05 23 17.83	1	       	25.8938	0	       	25.4941	0	       	21.8473	0	       	25.3114	0	22.9902	0.0829	1	1	2005-03-31T06:44:32
110	110	83.581108	-5.388286	2	0	05 34 19.466	-05 23 17.83	2	       	25.5373	0	       	25.4023	0	       	22.1531	0	       	25.2249	0	22.7147	0.1026	1	1	2005-04-01T06:43:47
112	112	83.581142	-5.401414	2	0	05 34 19.474	-05 24 05.09	11	23.9743	0.1682	1	23.5318	0.1285	1	       	21.7944	4	20.4488	0.0142	1	19.3268	0.0096	1	1	2005-04-07T06:40:27
112	112	83.581142	-5.401414	2	0	05 34 19.474	-05 24 05.09	12	       	25.5683	0	23.7613	0.0466	1	       	21.9884	4	20.6008	0.0147	1	19.3595	0.01	1	1	2005-04-07T09:52:24
114	114	83.581475	-5.422828	2	0	05 34 19.554	-05 25 22.18	11	       	25.8335	0	       	25.4463	0	       	21.8134	4	22.8486	0.0368	1	21.2591	0.0533	1	1	2005-04-07T06:40:27
114	114	83.581475	-5.422828	2	0	05 34 19.554	-05 25 22.18	12	       	25.6335	0	       	25.7338	0	       	21.9982	4	22.749	0.0349	1	21.2029	0.0303	1	1	2005-04-07T09:52:24
116	116	83.581587	-5.261508	1	0	05 34 19.581	-05 15 41.43	32	       	25.6946	0	       	26.0826	0	       	22.2887	0	22.7883	0.0301	1	21.2524	0.0346	1	1	2005-04-10T03:21:27
117	117	83.581592	-5.284853	1	0	05 34 19.582	-05 17 05.47	32	       	26.1198	0	       	25.99	0	       	22.4262	0	22.4684	0.027	1	20.5786	0.023	1	1	2005-04-10T03:21:27
118	118	83.581925	-5.395731	2	0	05 34 19.662	-05 23 44.63	11	       	25.893	0	       	25.7275	4	       	21.8495	0	24.1409	0.0831	1	22.2477	0.0989	1	1	2005-04-07T06:40:27
118	118	83.581925	-5.395731	2	0	05 34 19.662	-05 23 44.63	12	       	25.4397	0	       	25.5806	4	       	22.0178	0	24.0436	0.0723	1	22.3539	0.11	1	1	2005-04-07T09:52:24
120	120	83.582163	-5.258706	1	0	05 34 19.719	-05 15 31.34	32	       	25.8733	0	       	25.8187	0	       	22.4489	0	23.2381	0.0809	1	22.3105	0.0843	1	7	2005-04-10T03:21:27
121	121	83.582283	-5.268028	1	0	05 34 19.748	-05 16 04.90	32	       	26.0768	0	       	25.9523	0	       	22.5937	0	23.649	0.1237	1	22.4325	0.0699	1	1	2005-04-10T03:21:27
122	122	83.582304	-5.250589	2	0	05 34 19.753	-05 15 02.12	32	25.3383	0.1313	1	23.4172	0.0376	1	21.4877	0.0993	1	20.4371	0.0141	1	18.9969	0.0064	1	1	2005-04-10T03:21:27
122	122	83.582321	-5.250603	2	0	05 34 19.757	-05 15 02.17	41	24.0625	0.0547	1	23.4024	0.0357	1	20.5603	0.1708	1	20.4343	0.0142	1	18.9182	0.007	1	1	2005-04-10T18:45:40
124	124	83.582508	-5.365475	2	1	05 34 19.802	-05 21 55.71	1	       	25.7891	0	       	25.4371	0	       	22.1042	0	       	24.6651	4	21.9792	0.0941	1	1	2005-03-31T06:44:32
124	124	83.582508	-5.365475	2	1	05 34 19.802	-05 21 55.71	2	       	26.0022	0	       	25.7264	0	       	22.2418	0	24.2238	0.0993	1	21.9813	0.0952	1	1	2005-04-01T06:43:47
126	126	83.582742	-5.391922	2	0	05 34 19.858	-05 23 30.92	12	       	25.5142	0	       	25.68	0	       	21.9673	0	       	25.1743	4	22.7456	0.1065	1	1	2005-04-07T09:52:24
126	126	83.582742	-5.391922	2	0	05 34 19.858	-05 23 30.92	11	       	25.8752	0	       	25.7942	0	       	22.0529	0	23.8475	0.1706	1	22.868	0.1932	1	1	2005-04-07T06:40:27
128	128	83.583712	-5.266767	1	0	05 34 20.091	-05 16 00.36	32	       	26.1079	0	       	25.8003	0	       	22.107	0	23.0154	0.0894	1	22.1222	0.0837	1	7	2005-04-10T03:21:27
129	129	83.583737	-5.387553	4	0	05 34 20.097	-05 23 15.19	1	       	25.6091	0	       	25.4911	4	       	21.9848	0	23.3646	0.056	1	21.1807	0.0466	1	1	2005-03-31T06:44:32
129	129	83.583742	-5.387544	4	0	05 34 20.098	-05 23 15.16	11	       	25.3665	0	       	25.3922	4	       	21.9574	0	22.8034	0.0741	1	21.2033	0.0299	1	1	2005-04-07T06:40:27
129	129	83.583742	-5.387544	4	0	05 34 20.098	-05 23 15.16	12	24.4648	0.0841	1	       	25.4073	4	       	21.9722	0	22.7847	0.0631	1	21.4943	0.0542	1	1	2005-04-07T09:52:24
